Année,Libellé département,Consommation électricité totale (MWh),Géo-point département
2022,Eure,3845018,"49.113763228, 0.996261073"
2022,Finistère,5484290,"48.261838056, -4.060134395"
2022,Hérault,6228428,"43.579523235, 3.368398092"
2022,Ille-et-Vilaine,6168215,"48.155092408, -1.638170461"
2022,Pas-de-Calais,9381242,"50.494027561, 2.286125301"
2022,Haute-Saône,1403299,"47.641252912, 6.087220003"
2022,Hautes-Alpes,1036653,"44.663842876, 6.264946382"
2022,Ariège,916933,"42.920996352, 1.503628342"
2022,Aube,2081565,"48.304654353, 4.161442177"
2022,Cher,1813528,"47.065818618, 2.491085958"
2022,Corrèze,1454392,"45.35731838, 1.877722448"
2022,Creuse,580640,"46.090606221, 2.018191111"
2022,Corse-du-Sud,1054885,"41.86402911, 8.987833385"
2022,Indre-et-Loire,3440392,"47.258549683, 0.691088725"
2022,Morbihan,4875918,"47.846402619, -2.811275188"
2022,Bas-Rhin,7868922,"48.671444828, 7.552035773"
2022,Savoie,36214279,"45.477580061, 6.442815962"
2022,Seine-Maritime,9791820,"49.654750795, 1.027820031"
2022,Hauts-de-Seine,7852493,"48.840165545, 2.198660451"
2022,Val-de-Marne,5863220,"48.777436015, 2.469285263"
2022,Allier,2098612,"46.393640869, 3.187643469"
2022,Aude,2212958,"43.103293402, 2.413526661"
2022,Calvados,4162898,"49.09973147, -0.361594786"
2022,Cantal,811434,"45.051254931, 2.669005421"
2022,Doubs,3028987,"47.165956767, 6.362729954"
2022,Gard,4938296,"43.993640353, 4.179890189"
2022,Haute-Garonne,7439405,"43.358862094, 1.174881749"
2022,Loire,4188150,"45.728021616, 4.164533893"
2022,Haute-Loire,1612890,"45.128131514, 3.806258581"
2022,Lot,1100143,"44.624616829, 1.605504531"
2022,Lozère,479294,"44.517520508, 3.499711994"
2022,Marne,4170932,"48.94991371, 4.238492505"
2022,Haute-Marne,1349152,"48.110462406, 5.225505381"
2022,Nord,20045994,"50.448322059, 3.214231707"
2022,Oise,4993468,"49.409940408, 2.425125162"
2022,Haut-Rhin,5365657,"47.85945666, 7.27394755"
2022,Saône-et-Loire,3852133,"46.644772964, 4.542775336"
2022,Haute-Savoie,5690632,"46.034640932, 6.428310719"
2022,Haute-Vienne,1986860,"45.892294631, 1.23482404"
2022,Yonne,2408921,"47.840515573, 3.563318684"
2022,Ardèche,2015910,"44.752755179, 4.425606121"
2022,Bouches-du-Rhône,15643009,"43.545554905, 5.085562553"
2022,Charente-Maritime,3950299,"45.780819406, -0.675882853"
2022,Côtes-d'Armor,3992350,"48.440657756, -2.864697677"
2022,Landes,3647737,"43.965839042, -0.783710434"
2022,Loiret,4197267,"47.911885309, 2.343971623"
2022,Lot-et-Garonne,2143581,"44.367946911, 0.460736357"
2022,Meurthe-et-Moselle,4703670,"48.788805967, 6.161944037"
2022,Moselle,6935393,"49.037547574, 6.661338832"
2022,Puy-de-Dôme,4170529,"45.725902008, 3.140163584"
2022,Pyrénées-Atlantiques,4134266,"43.25625069, -0.761198093"
2022,Rhône,10688720,"45.871010731, 4.640837675"
2022,Sarthe,3765608,"47.994940567, 0.222558045"
2022,Paris,12655688,"48.856615278, 2.342914282"
2022,Seine-et-Marne,8540273,"48.627498756, 2.934085752"
2022,Yvelines,7658443,"48.815322958, 1.841259535"
2022,Tarn,2195154,"43.785707068, 2.165751871"
2022,Vosges,3285253,"48.196289799, 6.380134222"
2022,Aisne,3138623,"49.561175834, 3.559348786"
2022,Alpes-de-Haute-Provence,1164323,"44.106317499, 6.244720123"
2022,Alpes-Maritimes,6694144,"43.938042791, 7.116287653"
2022,Ardennes,1909973,"49.616230186, 4.640763657"
2022,Charente,2403828,"45.718705709, 0.203016757"
2022,Côte-d'Or,3181362,"47.425600164, 4.771643517"
2022,Dordogne,2499780,"45.10493616, 0.741197763"
2022,Drôme,3955713,"44.685218941, 5.167387997"
2022,Gers,1143964,"43.692925661, 0.452940328"
2022,Isère,10186586,"45.263929423, 5.574198474"
2022,Maine-et-Loire,4723378,"47.389887274, -0.559455656"
2022,Mayenne,2304523,"48.147286862, -0.657413831"
2022,Orne,1908135,"48.623100798, 0.127787133"
2022,Hautes-Pyrénées,1356799,"43.053720095, 0.163875885"
2022,Pyrénées-Orientales,2691179,"42.599820084, 2.522149342"
2022,Var,6346560,"43.441721217, 6.244536265"
2022,Vaucluse,3859406,"44.007120297, 5.177303779"
2022,Territoire de Belfort,679435,"47.631765702, 6.928639081"
2022,Essonne,7086169,"48.522618787, 2.243387365"
2022,Seine-Saint-Denis,6970976,"48.917606202, 2.478543614"
2022,Val-d'Oise,5200556,"49.082738908, 2.130831816"
2022,Ain,6262875,"46.099768342, 5.348728621"
2022,Aveyron,1612257,"44.281092482, 2.678566109"
2022,Eure-et-Loir,2829962,"48.388033214, 1.36999471"
2022,Haute-Corse,1054432,"42.394786124, 9.206286532"
2022,Gironde,9152203,"44.824648635, -0.576122309"
2022,Indre,1432955,"46.778273312, 1.575965319"
2022,Jura,2296800,"46.729374799, 5.697342265"
2022,Loir-et-Cher,2095525,"47.616907832, 1.427846096"
2022,Loire-Atlantique,8199221,"47.363051708, -1.678882604"
2022,Manche,3727769,"49.080945893, -1.328909978"
2022,Meuse,1347559,"48.991119705, 5.38137643"
2022,Nièvre,1274793,"47.115732399, 3.504212517"
2022,Deux-Sèvres,2523459,"46.556969544, -0.317774431"
2022,Somme,3761618,"49.957903592, 2.276129739"
2022,Tarn-et-Garonne,1555284,"44.085804636, 1.282242437"
2022,Vendée,4718239,"46.675044864, -1.298491384"
2022,Vienne,2465086,"46.5649743, 0.459442651"
