Nom du réacteur,Centrale nucléaire,Commune,Commune Lat,Commune Long,Département,Rg,Palier,Puissance thermique (MWt),Puissance brute (MWe),Puissance nette (MWe),Début construction,Raccordement au réseau,Mise en service
BELLEVILLE-1,Belleville,Belleville,47.507221,2.84996,Cher,54,P'4,3817,1363,1310,1980,1987,1988
BELLEVILLE-2,Belleville,Belleville,47.507221,2.84996,Cher,55,P'4,3817,1363,1310,1980,1988,1989
BLAYAIS-15,Blayais,Braud-et-Saint-Louis,45.247987,-0.626174,Gironde,32,CP1,2785,951,910,1977,1981,1981
BLAYAIS-25,Blayais,Braud-et-Saint-Louis,45.247987,-0.626174,Gironde,33,CP1,2785,951,910,1977,1982,1983
BLAYAIS-3,Blayais,Braud-et-Saint-Louis,45.247987,-0.626174,Gironde,34,CP1,2785,951,910,1978,1983,1983
BLAYAIS-4,Blayais,Braud-et-Saint-Louis,45.247987,-0.626174,Gironde,35,CP1,2785,951,910,1978,1983,1983
BUGEY-2,Bugey,Saint-Vulbas,45.832913,5.290324,Ain,13,CP0,2785,945,910,1972,1978,1979
BUGEY-3,Bugey,Saint-Vulbas,45.832913,5.290324,Ain,14,CP0,2785,945,910,1973,1978,1979
BUGEY-4,Bugey,Saint-Vulbas,45.832913,5.290324,Ain,15,CP0,2785,917,880,1974,1979,1979
BUGEY-5,Bugey,Saint-Vulbas,45.832913,5.290324,Ain,16,CP0,2785,917,880,1974,1979,1980
CATTENOM-1,Cattenom,Cattenom,49.406263,6.243668,Moselle,50,P'4,3817,1362,1300,1979,1986,1987
CATTENOM-2,Cattenom,Cattenom,49.406263,6.243668,Moselle,53,P'4,3817,1362,1300,1980,1987,1988
CATTENOM-3,Cattenom,Cattenom,49.406263,6.243668,Moselle,60,P'4,3817,1362,1300,1982,1990,1991
CATTENOM-4,Cattenom,Cattenom,49.406263,6.243668,Moselle,65,P'4,3817,1362,1300,1983,1991,1992
CHINON-B-15,Chinon-B,Avoine,47.205697,0.181982,Indre-et-Loire,40,CP2,2785,954,905,1977,1982,1984
CHINON-B-25,Chinon-B,Avoine,47.205697,0.181982,Indre-et-Loire,41,CP2,2785,954,905,1977,1983,1984
CHINON-B-35,Chinon-B,Avoine,47.205697,0.181982,Indre-et-Loire,56,CP2,2785,954,905,1980,1986,1987
CHINON-B-45,Chinon-B,Avoine,47.205697,0.181982,Indre-et-Loire,57,CP2,2785,954,905,1981,1987,1988
CHOOZ-B-1,Chooz-B,Chooz,50.102368,4.807117,Ardennes,62,N4,4270,1560,1500,1984,1996,2000
CHOOZ-B-2,Chooz-B,Chooz,50.102368,4.807117,Ardennes,70,N4,4270,1560,1500,1985,1997,2000
CIVAUX-1,Civaux,Civaux,46.444209,0.664866,Vienne,72,N4,4270,1561,1495,1988,1997,2002
CIVAUX-2,Civaux,Civaux,46.444209,0.664866,Vienne,73,N4,4270,1561,1495,1991,1999,2002
CRUAS-1,Cruas,Cruas,44.656914,4.765255,Ardche,42,CP2,2785,956,915,1978,1983,1984
CRUAS-2,Cruas,Cruas,44.656914,4.765255,Ardche,43,CP2,2785,956,915,1978,1984,1985
CRUAS-3,Cruas,Cruas,44.656914,4.765255,Ardche,44,CP2,2785,956,915,1979,1984,1984
CRUAS-4,Cruas,Cruas,44.656914,4.765255,Ardche,45,CP2,2785,956,915,1979,1984,1985
DAMPIERRE-15,Dampierre,Dampierre,47.761336,2.519807,Loiret,22,CP1,2785,937,890,1975,1980,1980
DAMPIERRE-25,Dampierre,Dampierre,47.761336,2.519807,Loiret,29,CP1,2785,937,890,1975,1980,1981
DAMPIERRE-35,Dampierre,Dampierre,47.761336,2.519807,Loiret,30,CP1,2785,937,890,1975,1981,1981
DAMPIERRE-45,Dampierre,Dampierre,47.761336,2.519807,Loiret,31,CP1,2785,937,890,1975,1981,1981
FESSENHEIM-1,Fessenheim,Fessenheim,47.914709,7.537626,Haut-Rhin,11,CP0,2660,920,880,1971,1977,1978
FESSENHEIM-2,Fessenheim,Fessenheim,47.914709,7.537626,Haut-Rhin,12,CP0,2660,920,880,1972,1977,1978
FLAMANVILLE-1,Flamanville,Flamanville,49.53207,-1.865804,Manche,46,P4,3817,1382,1330,1979,1985,1986
FLAMANVILLE-2,Flamanville,Flamanville,49.53207,-1.865804,Manche,47,P4,3817,1382,1330,1980,1986,1987
GOLFECH-1,Golfech,Golfech,44.114113,0.851985,Tarn-et-Garonne,61,P'4,3817,1363,1310,1982,1990,1991
GOLFECH-2,Golfech,Golfech,44.114113,0.851985,Tarn-et-Garonne,68,P'4,3817,1363,1310,1984,1993,1994
GRAVELINES-15,Gravelines,Gravelines,50.98707,2.125537,Nord,20,CP1,2785,951,910,1975,1980,1980
